Case ID,Activity,Timestamp,Resource
4001,Apply to trip,2025-08-07T15:32:57.490836,User
4001,Register application,2025-08-07T15:32:57.512432,backend
4002,Apply to trip,2025-08-07T15:32:57.534235,User
4001,Send available spots,2025-08-07T15:32:57.541189,User
4002,Register application,2025-08-07T15:32:57.548714,backend
4003,Apply to trip,2025-08-07T15:32:57.560431,User
4002,Send invoice,2025-08-07T15:32:57.566492,User
4003,Register application,2025-08-07T15:32:57.572295,backend
4004,Apply to trip,2025-08-07T15:32:57.579527,User
4003,Send invoice,2025-08-07T15:32:57.586341,User
4004,Register application,2025-08-07T15:32:57.591408,backend
4005,Apply to trip,2025-08-07T15:32:57.59809,User
4004,Send invoice,2025-08-07T15:32:57.602563,User
4005,Register application,2025-08-07T15:32:57.613324,backend
4006,Apply to trip,2025-08-07T15:32:57.624051,User
4005,Send invoice,2025-08-07T15:32:57.629797,User
4006,Register application,2025-08-07T15:32:57.637697,backend
4007,Apply to trip,2025-08-07T15:32:57.645538,User
4006,Send invoice,2025-08-07T15:32:57.653053,User
4007,Register application,2025-08-07T15:32:57.658935,backend
4008,Apply to trip,2025-08-07T15:32:57.665503,User
4007,Send invoice,2025-08-07T15:32:57.670192,User
4008,Register application,2025-08-07T15:32:57.675697,backend
4009,Apply to trip,2025-08-07T15:32:57.681718,User
4008,Send invoice,2025-08-07T15:32:57.686045,User
4009,Register application,2025-08-07T15:32:57.690955,backend
4010,Apply to trip,2025-08-07T15:32:57.699025,User
4009,Send invoice,2025-08-07T15:32:57.703532,User
4010,Register application,2025-08-07T15:32:57.708575,backend
4011,Apply to trip,2025-08-07T15:32:57.714964,User
4010,Send invoice,2025-08-07T15:32:57.719636,User
4011,Register application,2025-08-07T15:32:57.724585,backend
4012,Apply to trip,2025-08-07T15:32:57.730883,User
4011,Send invoice,2025-08-07T15:32:57.735305,User
4012,Register application,2025-08-07T15:32:57.740416,backend
4013,Apply to trip,2025-08-07T15:32:57.746281,User
4012,Send invoice,2025-08-07T15:32:57.749849,User
4013,Register application,2025-08-07T15:32:57.755096,backend
4014,Apply to trip,2025-08-07T15:32:57.764895,User
4013,Send available spots,2025-08-07T15:32:57.770428,User
4014,Register application,2025-08-07T15:32:57.77839,backend
4015,Apply to trip,2025-08-07T15:32:57.785224,User
4014,Send invoice,2025-08-07T15:32:57.789424,User
4015,Register application,2025-08-07T15:32:57.793777,backend
4016,Apply to trip,2025-08-07T15:32:57.802251,User
4015,Send invoice,2025-08-07T15:32:57.807216,User
4016,Register application,2025-08-07T15:32:57.812813,backend
4017,Apply to trip,2025-08-07T15:32:57.818808,User
4016,Send available spots,2025-08-07T15:32:57.823216,User
4017,Register application,2025-08-07T15:32:57.828031,backend
4018,Apply to trip,2025-08-07T15:32:57.833483,User
4017,Send invoice,2025-08-07T15:32:57.837544,User
4018,Register application,2025-08-07T15:32:57.841022,backend
4019,Apply to trip,2025-08-07T15:32:57.846754,User
4018,Send invoice,2025-08-07T15:32:57.858984,User
4019,Register application,2025-08-07T15:32:57.868678,backend
4020,Apply to trip,2025-08-07T15:32:57.882061,User
4019,Send invoice,2025-08-07T15:32:57.886855,User
4020,Register application,2025-08-07T15:32:57.893986,backend
4021,Apply to trip,2025-08-07T15:32:57.901261,User
4020,Send invoice,2025-08-07T15:32:57.905994,User
4021,Register application,2025-08-07T15:32:57.911596,backend
4022,Apply to trip,2025-08-07T15:32:57.918427,User
4021,Send invoice,2025-08-07T15:32:57.923642,User
