Case ID,Activity,Timestamp,Resource
2251799816774041,Start create trip,2025-08-07T10:00:43.107814,Coordinator
2251799816774074,Start create trip,2025-08-07T10:00:43.144094,Coordinator
2251799816774107,Start create trip,2025-08-07T10:00:43.163043,Coordinator
2251799816774140,Start create trip,2025-08-07T10:00:43.185492,Coordinator
2251799816774173,Start create trip,2025-08-07T10:00:43.203862,Coordinator
2251799816774206,Start create trip,2025-08-07T10:00:43.216517,Coordinator
2251799816774239,Start create trip,2025-08-07T10:00:43.231179,Coordinator
2251799816774272,Start create trip,2025-08-07T10:00:43.245549,Coordinator
2251799816774305,Start create trip,2025-08-07T10:00:43.257572,Coordinator
2251799816774338,Start create trip,2025-08-07T10:00:43.269757,Coordinator
2251799816774371,Start create trip,2025-08-07T10:00:43.282795,Coordinator
2251799816774405,Start create trip,2025-08-07T10:00:43.295351,Coordinator
2251799816774438,Start create trip,2025-08-07T10:00:43.308892,Coordinator
2251799816774471,Start create trip,2025-08-07T10:00:43.323454,Coordinator
2251799816774504,Start create trip,2025-08-07T10:00:43.334797,Coordinator
2251799816774537,Start create trip,2025-08-07T10:00:43.347138,Coordinator
2251799816774570,Start create trip,2025-08-07T10:00:43.358588,Coordinator
2251799816774603,Start create trip,2025-08-07T10:00:43.369439,Coordinator
2251799816774637,Start create trip,2025-08-07T10:00:43.381635,Coordinator
2251799816774670,Start create trip,2025-08-07T10:00:43.391224,Coordinator
2251799816774703,Start create trip,2025-08-07T10:00:43.400652,Coordinator
2251799816774736,Start create trip,2025-08-07T10:00:43.415116,Coordinator
2251799816774769,Start create trip,2025-08-07T10:00:43.425639,Coordinator
2251799816774803,Start create trip,2025-08-07T10:00:43.435638,Coordinator
2251799816774836,Start create trip,2025-08-07T10:00:43.456004,Coordinator
2251799816774869,Start create trip,2025-08-07T10:00:43.473016,Coordinator
2251799816774902,Start create trip,2025-08-07T10:00:43.485665,Coordinator
2251799816774935,Start create trip,2025-08-07T10:00:43.496348,Coordinator
2251799816774968,Start create trip,2025-08-07T10:00:43.510708,Coordinator
2251799816775001,Start create trip,2025-08-07T10:00:43.522721,Coordinator
2251799816775034,Start create trip,2025-08-07T10:00:43.533412,Coordinator
2251799816775067,Start create trip,2025-08-07T10:00:43.543709,Coordinator
2251799816775100,Start create trip,2025-08-07T10:00:43.55395,Coordinator
2251799816775133,Start create trip,2025-08-07T10:00:43.567733,Coordinator
2251799816775166,Start create trip,2025-08-07T10:00:43.579537,Coordinator
2251799816775199,Start create trip,2025-08-07T10:00:43.594942,Coordinator
2251799816775232,Start create trip,2025-08-07T10:00:43.613449,Coordinator
2251799816775266,Start create trip,2025-08-07T10:00:43.629467,Coordinator
2251799816775299,Start create trip,2025-08-07T10:00:43.641824,Coordinator
2251799816775332,Start create trip,2025-08-07T10:00:43.654951,Coordinator
2251799816775365,Start create trip,2025-08-07T10:00:43.665268,Coordinator
2251799816775398,Start create trip,2025-08-07T10:00:43.676879,Coordinator
2251799816775431,Start create trip,2025-08-07T10:00:43.688655,Coordinator
2251799816775464,Start create trip,2025-08-07T10:00:43.700768,Coordinator
2251799816775497,Start create trip,2025-08-07T10:00:43.711652,Coordinator
2251799816775531,Start create trip,2025-08-07T10:00:43.728443,Coordinator
2251799816775564,Start create trip,2025-08-07T10:00:43.744694,Coordinator
2251799816775598,Start create trip,2025-08-07T10:00:43.760899,Coordinator
2251799816775631,Start create trip,2025-08-07T10:00:43.777259,Coordinator
2251799816775664,Start create trip,2025-08-07T10:00:43.794187,Coordinator
2251799816775697,Start create trip,2025-08-07T10:00:43.810534,Coordinator
2251799816775730,Start create trip,2025-08-07T10:00:43.82532,Coordinator
